"CAPITULO","NOMBRE_CAPITULO","COD_3","DESCRIPCION_COD_3","COD_4","DESCRIPCION_COD_4","CDM","DESCRIPCION_CDM","CE","DESCRIPCION_CE"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A00","Colera","A000","Colera debido a Vibrio cholerae 01  biotipo cholerae",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A00","Colera","A001","Colera debido a Vibrio cholerae 01  biotipo el Tor",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A00","Colera","A009","Colera  no especificado",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A01","Fiebres Tifoidea Y Paratifoidea","A010","Fiebre tifoidea",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A01","Fiebres Tifoidea Y Paratifoidea","A011","Fiebre paratifoidea A",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A01","Fiebres Tifoidea Y Paratifoidea","A012","Fiebre paratifoidea B",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A01","Fiebres Tifoidea Y Paratifoidea","A013","Fiebre paratifoidea C",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A01","Fiebres Tifoidea Y Paratifoidea","A014","Fiebre paratifoidea  no especificada",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A02","Otras Infecciones Debidas Salmonella","A020","Enteritis debida a Salmonella",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A02","Otras Infecciones Debidas Salmonella","A021","Sepsis debida a Salmonella",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A02","Otras Infecciones Debidas Salmonella","A022","Infecciones localizadas debidas a Salmonella",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A02","Otras Infecciones Debidas Salmonella","A028","Otras infecciones especificadas como debidas a Salmonella",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A02","Otras Infecciones Debidas Salmonella","A029","Infeccion debida a Salmonella  no especificada",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
1,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)","A03","Shigelosis","A030","Shigelosis debida a Shigella dysenteriae",18,"18. Enfermedades infecciosas y parasitarias (sistémicas o afectación no especificada).","I","Infecciosas"
